ID,From,FromID,To,ToID,Stage
1,poland/kujawsko-pomorskie1,1041389407,germany/nordrhein-westfalen3,1426313610,toSortOffice
2,germany/rheinland-pfalz|saarland2,10535323,austria3,11392387394,toSortOffice
3,hungary4,12258191675,germany/niedersachsen3,9760643825,toSortOffice
4,czech-republic3,8672537210,poland/kujawsko-pomorskie1,8827479664,toSortOffice
5,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,45623582,austria2,11917464968,toSortOffice
6,belgium3,1297691931,poland/pomorskie1,1838704537,toSortOffice
7,germany/nordrhein-westfalen1,9672805761,germany/rheinland-pfalz|saarland1,279380872,toSortOffice
8,germany/thueringen1,568466656,germany/hessen2,3905731319,toSortOffice
9,poland/wielkopolskie1,2352722011,germany/mecklenburg-vorpommern1,1360522844,toSortOffice
10,poland/podkarpackie1,3238060059,switzerland|liechtenstein1,3027254446,toSortOffice
11,poland/lubuskie1,2705969340,germany/sachsen-anhalt1,3864648088,toSortOffice
12,poland/mazowieckie1,5266652529,netherlands/drenthe|friesland|groningen1,47986327,toSortOffice
13,germany/baden-wuerttemberg2,9507929069,germany/nordrhein-westfalen1,8151207645,toSortOffice
14,germany/nordrhein-westfalen3,7261906044,germany/bayern1,315523422,toSortOffice
15,czech-republic5,12029841021,poland/mazowieckie1,683209409,toSortOffice
16,germany/nordrhein-westfalen3,10258014573,germany/niedersachsen3,1191324890,toSortOffice
17,germany/baden-wuerttemberg2,82645733,switzerland|liechtenstein3,10581754734,toSortOffice
18,belgium1,617377590,germany/nordrhein-westfalen2,348448579,toSortOffice
19,germany/nordrhein-westfalen3,267148605,belgium4,1702713622,toSortOffice
20,czech-republic4,318269447,germany/niedersachsen2,29839566,toSortOffice
21,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,617181893,belgium2,1079115675,toSortOffice
22,czech-republic4,59521297,belgium3,7833842614,toSortOffice
23,germany/bayern1,477445288,poland/slaskie1,12156000120,toSortOffice
24,germany/niedersachsen3,2046495758,poland/pomorskie1,1815777186,toSortOffice
25,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,4654025841,germany/baden-wuerttemberg2,9061844348,toSortOffice
26,germany/baden-wuerttemberg2,854330595,germany/bayern3,248552116,toSortOffice
27,hungary1,2038687973,poland/podkarpackie1,634622057,toSortOffice
28,germany/nordrhein-westfalen1,6521130196,germany/baden-wuerttemberg2,2472767448,toSortOffice
29,netherlands/flevoland|gelderland|noord-holland|overijssel|utrecht2,2951313821,germany/hamburg|schleswig-holstein1,3052280242,toSortOffice
30,germany/baden-wuerttemberg2,2079696500,poland/swietokrzyskie1,3752107355,toSortOffice
31,poland/mazowieckie1,1722766585,poland/swietokrzyskie1,4955605283,toSortOffice
32,poland/pomorskie1,2980614465,germany/baden-wuerttemberg2,129691245,toSortOffice
33,netherlands/limburg|noord-brabant|zeeland|zuid-holland1,4587061784,germany/baden-wuerttemberg2,2435456571,toSortOffice
34,czech-republic3,1986708015,belgium4,5258342771,toSortOffice
35,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,1354159968,germany/rheinland-pfalz|saarland1,9695423326,toSortOffice
36,germany/hessen1,277386593,germany/hessen2,4139313582,toSortOffice
37,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,43878553,netherlands/limburg|noord-brabant|zeeland|zuid-holland2,6288271774,toSortOffice
38,germany/hamburg|schleswig-holstein1,550026294,poland/opolskie1,2374592570,toSortOffice
39,germany/baden-wuerttemberg1,1280631012,germany/baden-wuerttemberg1,31608315,toSortOffice
